line	section	status	keys	quote
66	أولاً: شارتات الأسهم	partial	3	مناطق طلب 3.70 < 3.80
110	أولاً: شارتات الأسهم	covered	2	مقاومة لحظية
132	أولاً: شارتات الأسهم	partial	3	3.80 ثبات الدعم — ماعتقد يصعد اليوم إلا إذا هلّت
181	ثانياً: تغريدات فيصل (الشرح بالكلام) — الأهم	covered	5	محتمل يضغطه لمناطق الطلب 2.70 < 2.80 · **2.50 دعم لو كسره يفشل السهم**
202	ثانياً: تغريدات فيصل (الشرح بالكلام) — الأهم	covered	3	هدف الشورت عند 1.70 · ثبات أعلى أو هبوط أكثر تحت المراقبة
205	ثانياً: تغريدات فيصل (الشرح بالكلام) — الأهم	partial	6	اضغط الطلب 3.87‑4 · دخول 3.60 > 3.50 مع متابعة الشورت
208	ثانياً: تغريدات فيصل (الشرح بالكلام) — الأهم	covered	2	**اللاين الأحمر يعتبر دعم**
225	ثالثاً: صور الإعدادات/المؤشرات المرجعية	covered	1	شمعة همر خضرا مقلوبة
225	ثالثاً: صور الإعدادات/المؤشرات المرجعية	no_match	0	شمعة همر حمرا
251	أولاً: شارتات أسهم جديدة	partial	4	صعد فوق ما تطرده خلّه يولّي · الأهداف ع ٤س · **شمعة الهبوط 2.18 = مقاومة/هدف، بِع قبلها**
261	أولاً: شارتات أسهم جديدة	covered	2	آخر دعم فنيًا ما يكسره 1.80
262	أولاً: شارتات أسهم جديدة	covered	2	رسم المقاومة + الأهداف في حال الصعود
263	أولاً: شارتات أسهم جديدة	covered	3	2.14 شمعة الصعود السابقة فنيًا = تكون دعم
269	أولاً: شارتات أسهم جديدة	partial	3	2.34‑8%=2.15
274	أولاً: شارتات أسهم جديدة	partial	2	شمعة همر مقلوبة/الشهاب الساقط
280	أولاً: شارتات أسهم جديدة	partial	14	مقاومة سابقة 78 · تكوين دعم 58 · رفض اختراق 78=هبوط انتظار قاع جديد · دعم أساسي 29 ارتداد 40 (30%) · هبوط مسح سيولة أسفل 29 · **الوقف 5‑7% ت
281	أولاً: شارتات أسهم جديدة	covered	2	2.80 فجوة سعرية
286	ثانياً: تغريدات/رسائل منهجية جديدة (الأهم)	covered	6	حقق نماذج الهبوط، لم يرتفع قريب **متوسط حركة 30/50** · تشبع RSI · تقاطع مؤكد · شورت إيجابي(منخفض) · إعلانات · فجوات عالية · ارتفع سابقًا 100
287	ثانياً: تغريدات/رسائل منهجية جديدة (الأهم)	partial	4	دفع السعر لتجاوز دعم/مقاومة مؤقت لتفعيل أوامر الوقف لدى الصغار، يجمع كمياتهم، ثم يهبط = مسح شامل · حدث في CDIO(1000%) وBNAI(5000%)
288	ثانياً: تغريدات/رسائل منهجية جديدة (الأهم)	covered	2	أدنى شمعة هبوط = مسح السيولة · صانع السوق يضرب الوقف من X لـY ثم يصعد
291	ثانياً: تغريدات/رسائل منهجية جديدة (الأهم)	covered	2	بانتظار دخول المضارب
